
36038253734,29217017000187,523060505,42
10070943702,63834156000198,384489474,7
33191622330,26430213000147,577968525,81
24220377395,23082942000161,373259181,28
42161658182,45785265000180,221098763,46
39118660460,85621675000100,072787920,5
63839546109,14586585000188,600703232,76
39070163942,91737907000193,520586599,37
29427358483,35752366000100,483061380,17
70204894603,07271427000173,022565058,73
06075461906,66640347000107,006129607,33
05335303859,87337503000135,042283645,22
94086983125,68653472000187,575204967,14
79518323160,12801928000154,425578145,69
53507546965,83787348000106,538599473,33
48498882249,30589752000109,215920727,74
34308520649,39140123000163,530573995,75
38664400300,53428564000196,568732120,89
00867004053,87974500000102,022803154,54
67581106489,03417303000100,676032730,58
87132220152,48276718000131,285625182,80
77668430300,07144559000134,428352858,96
69286708513,87763937000105,682013187,75
36517717501,24033833000117,222904736,46
00451203151,74783514000105,648326764,97
44061032879,06302230000191,622321583,32
96361173658,38648022000135,560465409,25
63279557542,41269273000113,221561354,85
46485459405,54859722000125,440137659,11
64918880703,95645678000138,751075397,86
92970213796,09132776000130,036142435,87
36622356920,32845812000124,501804703,34
32562821726,25113320000189,469781501,18
90499490703,41275360000183,553878946,46
34405607168,91731898000123,530914508,4
09645994144,72461486000176,646506016,41
68743951732,14855821000114,221840561,80
20143780379,05785954000170,627102223,82
08244129824,24541285000136,502172742,37
06237926992,83873156000104,417235886,43
61158522002,73615561000179,222384559,48
76747188080,50204886000163,219679493,41
61511122293,98063704000108,425079742,44
61982959827,54922121000110,036148131,59
30439417139,44422611000101,601939347,46
47909011300,07470682000145,246164369,54
21921018305,83525163000115,502202609,89
82594539325,24427841000148,507602310,37
60003553000,44824811000182,540760482,43
40748821910,93478545000199,183745996,59
